Zone,Slot,VIN,Year,Make,Model,Color,Body Type,Category,Status,Assigned,Notes
CAGE,C01,,,,,,,, ,,
CAGE,C02,,,,,,,, ,,
CAGE,C03,,,,,,,, ,,
CAGE,C04,KMHLM4DG2SU924835,2025,Hyundai,Elantra,Gray,Sedan,NEW,AVAILABLE ,2026-02-27T19:42:58.284Z,
CAGE,C05,,,,,,,, ,,
CAGE,C06,,,,,,,, ,,
CAGE,C07,,,,,,,, ,,
CAGE,C12,1C6RR7FG3MS585104,2021,Ram,1500 Classic,Red,Truck,FLR,AVAILABLE ,2026-02-27T19:42:58.284Z,
CAGE,C13,1FTFW1E8XNKE44513,2022,Ford,F-150,White,Truck,FLR,AVAILABLE ,2026-02-27T19:42:58.284Z,
CAGE,C08,2C3CCADG3NH225831,2022,Chrysler,300,Grey,Sedan,FLR,AVAILABLE ,2026-02-27T19:42:58.284Z,
CAGE,C09,KMHRB8A30RU314452,2024,Hyundai,Venue,White,SUV,FLR,AVAILABLE ,2026-02-27T19:42:58.284Z,
CAGE,C10,3GNAXKEG2RS117383,2024,Chevrolet,Equinox,White,SUV,FLR,AVAILABLE ,2026-02-27T19:42:58.284Z,
CAGE,C11,KM8HCCAB5RU131146,2024,Hyundai,Kona,Red,SUV,FLR,AVAILABLE ,2026-02-27T19:42:58.284Z,
CAGE,C14,KNDJX3AE5G7004333,2016,Kia,Soul EV,Black,SUV,FLR,AVAILABLE ,2026-02-27T19:42:58.284Z,
CAGE,C15,1G1ZB5ST3RF162262,2024,Chevrolet,Malibu,Gray,Sedan,FLR,AVAILABLE ,2026-02-27T19:42:58.284Z,
CAGE,C16,3MW5R7J05N8C59287,2022,BMW,3 Series,White,Sedan,FLR,AVAILABLE ,2026-02-27T19:42:58.284Z,
CAGE,C17,,,,,,,, ,,
CAGE,C18,,,,,,,, ,,
CAGE,C19,,,,,,,, ,,
CAGE,C20,,,,,,,, ,,
FENCE,F1,JN8BT3BB3RW429356,2024,Nissan,Rogue,Blue,SUV,SOLD,SIGNED DEAL ,2026-02-27T19:42:58.284Z,
FENCE,F2,1N4AA6DV7PC508359,2023,Nissan,Maxima,Blue,Sedan,SOLD,SIGNED DEAL ,2026-02-27T19:42:58.284Z,
FENCE,F3,1C4PJXEG4TW201511,2026,Jeep,Wrangler,,SUV,BND,BOOKED | NOT DELIVERED ,2026-02-27T19:42:58.284Z,
FENCE,F4,3C6SRFGP5T4161764,2026,Ram,1500,Black,Truck,BND,BOOKED | NOT DELIVERED ,2026-02-27T19:42:58.284Z,
FENCE,F5,1C6SRFGP2SN548759,2025,Ram,1500,Silver,Truck,BND,BOOKED | NOT DELIVERED ,2026-02-27T19:42:58.284Z,
LEFT,L1,JA4J4UA82NZ618356,2022,Mitsubishi,Outlander,Black,SUV,BND,BOOKED | NOT DELIVERED ,2026-02-27T19:42:58.284Z,
LEFT,L2,KMHRC8A37RU294133,2024,Hyundai,Venue,White,SUV,BND,BOOKED | NOT DELIVERED ,2026-02-27T19:42:58.284Z,
LEFT,L3,3C4NJDCN5TT184473,2026,Jeep,Compass,Black,SUV,RECON,IN RECON ,2026-02-27T19:42:58.284Z,
LEFT,L4,3C6RR7LT1PG680094,2023,Ram,1500 Classic,Silver,Truck,RECON,IN RECON ,2026-02-27T19:42:58.284Z,
LEFT,L5,,,,,,,, ,,
